tag,threshold,frequency
Abusive contact,0.40000000000000013,0.0775
Account breach,0.40000000000000013,0.08833333333333333
Account closure denied,0.40000000000000013,0.09
Autopay malfunction,0.40000000000000013,0.08458333333333333
Data compromise,0.40000000000000013,0.07875
Dispute not processed,0.40000000000000013,0.0775
Excessive interest,0.40000000000000013,0.08
False debt claims,0.5000000000000001,0.08708333333333333
Fee dispute unresolved,0.3500000000000001,0.08458333333333333
Fraudulent charges,0.4500000000000001,0.08958333333333333
Identity theft not resolved,0.40000000000000013,0.08333333333333333
Inaccurate information reported,0.40000000000000013,0.08
Incorrect payment reversal,0.40000000000000013,0.08166666666666667
Investigation not conducted,0.40000000000000013,0.08791666666666667
Misapplied payment,0.40000000000000013,0.08
Missing statements,0.40000000000000013,0.09083333333333334
Monitoring failure,0.40000000000000013,0.07583333333333334
Payment not posted,0.40000000000000013,0.08708333333333333
Unable to access funds,0.4500000000000001,0.095
Unauthorized account opening,0.40000000000000013,0.09125
Unauthorized disclosure,0.40000000000000013,0.08166666666666667
Undisclosed fees,0.40000000000000013,0.08458333333333333
Unjustified penalties,0.40000000000000013,0.08666666666666667
Validation not provided,0.40000000000000013,0.0825
